Generation,BestCandidate, Average, WorstCandidate
2895, 0.7, 0.6813333, 0
2900, 0.7, 0.6999999, 0
2905, 0.7, 0.6829332, 0
2910, 0.7, 0.6767999, 0
2915, 0.7, 0.6933333, 0
2920, 0.7, 0.6871999, 0
2925, 0.7, 0.6607999, 0
2930, 0.7, 0.6551999, 0
2935, 0.7, 0.5968, 0
2940, 0.7, 0.6781332, 0
2945, 0.7, 0.692, 0
2950, 0.7, 0.6781332, 0
2955, 0.7, 0.6781332, 0
2960, 0.7, 0.6882666, 0
2965, 0.7, 0.6962667, 0
2970, 0.7, 0.6954666, 0
2975, 0.7, 0.6565333, 0
2980, 0.7, 0.6999999, 0
2985, 0.7, 0.6853333, 0
2990, 0.7, 0.6935999, 0
2995, 0.7, 0.6717333, 0
3000, 0.7, 0.6999999, 0
3005, 0.7, 0.6986666, 0
3010, 0.7, 0.6759999, 0
3015, 0.7, 0.6909332, 0
3020, 0.7, 0.6776, 0
3025, 0.7, 0.6999999, 0
3030, 0.7, 0.6999999, 0
3035, 0.7, 0.6621333, 0
3040, 0.7, 0.6597332, 0
3045, 0.7, 0.6277332, 0
3050, 0.7, 0.6826666, 0
3055, 0.7, 0.6965332, 0
3060, 0.7, 0.6879999, 0
3065, 0.7, 0.6632, 0
3070, 0.7, 0.6967999, 0
3075, 0.7, 0.6728, 0
3080, 0.7, 0.6957332, 0
3085, 0.7, 0.6946666, 0
3090, 0.7, 0.6216, 0
3095, 0.7, 0.6986666, 0
3100, 0.7, 0.6999999, 0
3105, 0.7, 0.6999999, 0
3110, 0.7, 0.6775999, 0
3115, 0.7, 0.6999999, 0
3120, 0.7, 0.6589333, 0
3125, 0.7, 0.6927999, 0
3130, 0.7, 0.6906666, 0
3135, 0.7, 0.6999999, 0
3140, 0.7, 0.6349334, 0
3145, 0.7, 0.6432, 0
3150, 0.7, 0.6991999, 0
3155, 0.7, 0.6818666, 0
3160, 0.7, 0.6370666, 0
3165, 0.7, 0.6527998, 0
3170, 0.7, 0.6839999, 0
3175, 0.7, 0.6978666, 0
3180, 0.7, 0.6997332, 0
3185, 0.7, 0.6341333, 0
3190, 0.7, 0.6866666, 0
3195, 0.7, 0.6818666, 0
3200, 0.7, 0.6909332, 0
3205, 0.7, 0.6983999, 0
3210, 0.7, 0.6999999, 0
3215, 0.7, 0.6999999, 0
3220, 0.7, 0.6781332, 0
3225, 0.7, 0.6823999, 0
3230, 0.7, 0.6999999, 0
3235, 0.7, 0.6277333, 0
3240, 0.7, 0.6661332, 0
3245, 0.7, 0.6882666, 0
3250, 0.7, 0.6941332, 0
3255, 0.7, 0.6997332, 0
3260, 0.7, 0.6733332, 0
3265, 0.7, 0.6930665, 0
3270, 0.7, 0.6810666, 0
3275, 0.7, 0.6773332, 0
3280, 0.7, 0.6848, 0
3285, 0.7, 0.6778666, 0
3290, 0.7, 0.6999999, 0
3295, 0.7, 0.6514665, 0
3300, 0.7, 0.6991999, 0
3305, 0.7, 0.6999999, 0
3310, 0.7, 0.6656, 0
3315, 0.7, 0.6344, 0
3320, 0.7, 0.6519999, 0
3325, 0.7, 0.6679999, 0
3330, 0.7, 0.6765333, 0
3335, 0.7, 0.6496, 0
3340, 0.7, 0.6957332, 0
3345, 0.7, 0.6781332, 0
3350, 0.7, 0.6989332, 0
3355, 0.7, 0.6266667, 0
3360, 0.7, 0.6503999, 0
3365, 0.7, 0.6975999, 0
3370, 0.7, 0.5637333, 0
3375, 0.7, 0.6464, 0
3380, 0.7, 0.6021333, 0
3385, 0.7, 0.6999999, 0
3390, 0.7, 0.6799999, 0
3395, 0.7, 0.6866666, 0
3400, 0.7, 0.6650667, 0
3405, 0.7, 0.6770666, 0
3410, 0.7, 0.6999999, 0
3415, 0.7, 0.6887999, 0
3420, 0.7, 0.6767999, 0
3425, 0.7, 0.6685332, 0
3430, 0.7, 0.6525333, 0
3435, 0.7, 0.6999999, 0
3440, 0.7, 0.6647999, 0
3445, 0.7, 0.6682665, 0
3450, 0.7, 0.6999999, 0
3455, 0.7, 0.6999999, 0
3460, 0.7, 0.6957332, 0
3465, 0.7, 0.6890666, 0
3470, 0.7, 0.6997332, 0
3475, 0.7, 0.6778666, 0
3480, 0.7, 0.6999999, 0
3485, 0.7, 0.6983998, 0
3490, 0.7, 0.6949332, 0
3495, 0.7, 0.6935999, 0
3500, 0.7, 0.6781332, 0
3505, 0.7, 0.6983999, 0
3510, 0.7, 0.6421333, 0
3515, 0.7, 0.6989332, 0
3520, 0.7, 0.6959999, 0
3525, 0.7, 0.6887999, 0
3530, 0.7, 0.6759999, 0
3535, 0.7, 0.6911999, 0
3540, 0.7, 0.6845332, 0
3545, 0.7, 0.6994666, 0
3550, 0.7, 0.6999999, 0
3555, 0.7, 0.6637332, 0
3560, 0.7, 0.6973333, 0
3565, 0.7, 0.6935999, 0
3570, 0.7, 0.6754667, 0
3575, 0.7, 0.6722666, 0
3580, 0.7, 0.6615999, 0
3585, 0.7, 0.6999999, 0
3590, 0.7, 0.6925333, 0
3595, 0.7, 0.6922666, 0
3600, 0.7, 0.6930665, 0
3605, 0.7, 0.6999999, 0
3610, 0.7, 0.6407999, 0
3615, 0.7, 0.6994666, 0
3620, 0.7, 0.6999999, 0
3625, 0.7, 0.6781332, 0
3630, 0.7, 0.6685332, 0
3635, 0.7, 0.6999999, 0
3640, 0.7, 0.6781332, 0
3645, 0.7, 0.6685332, 0
3650, 0.7, 0.6783999, 0
3655, 0.7, 0.6936001, 0
3660, 0.7, 0.6565333, 0
3665, 0.7, 0.6837333, 0
3670, 0.7, 0.6669332, 0
3675, 0.7, 0.6999999, 0
3680, 0.7, 0.6855999, 0
3685, 0.7, 0.6877334, 0
3690, 0.7, 0.6999999, 0
3695, 0.7, 0.6999999, 0
3700, 0.7, 0.6887999, 0
3705, 0.7, 0.6989332, 0
3710, 0.7, 0.6999999, 0
3715, 0.7, 0.6818666, 0
3720, 0.7, 0.6629333, 0
3725, 0.7, 0.6712, 0
3730, 0.7, 0.6997332, 0
3735, 0.7, 0.6978666, 0
3740, 0.7, 0.6744, 0
3745, 0.7, 0.632, 0
3750, 0.7, 0.6991999, 0
3755, 0.7, 0.6861333, 0
3760, 0.7, 0.6930666, 0
3765, 0.7, 0.6730666, 0
3770, 0.7, 0.6690666, 0
3775, 0.7, 0.6202667, 0
3780, 0.7, 0.6834666, 0
3785, 0.7, 0.6983998, 0
3790, 0.7, 0.6338666, 0
3795, 0.7, 0.6967999, 0
3800, 0.7, 0.6893332, 0
3805, 0.7, 0.6514666, 0
3810, 0.7, 0.6989333, 0
3815, 0.7, 0.6989333, 0
3820, 0.7, 0.6242666, 0
3825, 0.7, 0.6999999, 0
3830, 0.7, 0.6999999, 0
3835, 0.7, 0.6130667, 0
