Generation,BestCandidate, Average, WorstCandidate
1750, 0.59375, 0.5, 0.421875
1755, 0.625, 0.5208333, 0.4375
1760, 0.65625, 0.51875, 0.4375
1765, 0.5625, 0.4927083, 0.4375
1770, 0.671875, 0.48125, 0.375
1775, 0.625, 0.46875, 0.375
1780, 0.671875, 0.490625, 0.28125
1785, 0.59375, 0.4989583, 0.40625
1790, 0.625, 0.5166667, 0.4375
1795, 0.59375, 0.5229167, 0.484375
1800, 0.65625, 0.4958333, 0.40625
1805, 0.578125, 0.478125, 0.390625
1810, 0.6875, 0.4927083, 0.375
1815, 0.59375, 0.503125, 0.375
1820, 0.578125, 0.4864583, 0.375
1825, 0.59375, 0.503125, 0.4375
1830, 0.546875, 0.4791667, 0.34375
1835, 0.71875, 0.51875, 0.40625
1840, 0.625, 0.515625, 0.375
1845, 0.65625, 0.5208333, 0.4375
1850, 0.671875, 0.5125, 0.4375
1855, 0.71875, 0.5010417, 0.4375
1860, 0.5625, 0.4947917, 0.421875
1865, 0.65625, 0.515625, 0.375
1870, 0.625, 0.5354167, 0.4375
1875, 0.671875, 0.503125, 0.390625
1880, 0.640625, 0.4947917, 0.28125
1885, 0.625, 0.515625, 0.375
1890, 0.734375, 0.5166667, 0.359375
1895, 0.640625, 0.528125, 0.375
1900, 0.65625, 0.5125, 0.375
1905, 0.546875, 0.4833333, 0.40625
1910, 0.53125, 0.478125, 0.40625
1915, 0.71875, 0.5302083, 0.46875
1920, 0.609375, 0.49375, 0.375
1925, 0.625, 0.5041667, 0.375
1930, 0.5625, 0.4885417, 0.375
1935, 0.6875, 0.5104167, 0.40625
1940, 0.5, 0.4708333, 0.34375
1945, 0.53125, 0.4885417, 0.40625
1950, 0.53125, 0.4770833, 0.34375
1955, 0.59375, 0.4916667, 0.375
1960, 0.65625, 0.503125, 0.421875
1965, 0.640625, 0.4895833, 0.375
1970, 0.671875, 0.5197917, 0.40625
1975, 0.625, 0.5354167, 0.4375
1980, 0.5625, 0.4875, 0.40625
1985, 0.625, 0.4822917, 0.34375
1990, 0.5625, 0.4916667, 0.40625
1995, 0.5625, 0.4927083, 0.421875
2000, 0.59375, 0.4760417, 0.375
2005, 0.625, 0.5010417, 0.4375
2010, 0.59375, 0.496875, 0.265625
2015, 0.625, 0.5114583, 0.4375
2020, 0.671875, 0.5125, 0.34375
2025, 0.5625, 0.4864583, 0.40625
2030, 0.6875, 0.5197917, 0.46875
2035, 0.53125, 0.48125, 0.375
2040, 0.625, 0.4916667, 0.34375
2045, 0.5625, 0.4958333, 0.40625
2050, 0.65625, 0.5135416, 0.40625
2055, 0.6875, 0.5229167, 0.4375
2060, 0.609375, 0.4864583, 0.375
2065, 0.59375, 0.4947917, 0.40625
2070, 0.625, 0.503125, 0.375
2075, 0.546875, 0.496875, 0.375
2080, 0.71875, 0.525, 0.453125
2085, 0.625, 0.4875, 0.375
2090, 0.609375, 0.5135416, 0.40625
2095, 0.609375, 0.5104167, 0.4375
2100, 0.625, 0.5197917, 0.421875
2105, 0.625, 0.4833333, 0.34375
2110, 0.625, 0.5083333, 0.390625
2115, 0.65625, 0.5364583, 0.34375
2120, 0.546875, 0.49375, 0.4375
2125, 0.59375, 0.478125, 0.375
2130, 0.65625, 0.5052083, 0.375
2135, 0.5625, 0.4885417, 0.34375
2140, 0.59375, 0.5010417, 0.4375
2145, 0.625, 0.503125, 0.4375
2150, 0.71875, 0.5239583, 0.4375
2155, 0.6875, 0.5177084, 0.375
2160, 0.515625, 0.4802083, 0.375
2165, 0.59375, 0.5, 0.375
2170, 0.640625, 0.475, 0.34375
2175, 0.625, 0.5166667, 0.4375
2180, 0.625, 0.5322917, 0.484375
2185, 0.609375, 0.4802083, 0.375
2190, 0.625, 0.4979167, 0.34375
2195, 0.640625, 0.515625, 0.328125
2200, 0.59375, 0.5145833, 0.4375
2205, 0.625, 0.5114583, 0.46875
2210, 0.5625, 0.4854167, 0.328125
2215, 0.671875, 0.503125, 0.40625
2220, 0.6875, 0.5, 0.28125
2225, 0.625, 0.5125, 0.46875
2230, 0.5625, 0.4979167, 0.4375
2235, 0.625, 0.509375, 0.375
2240, 0.578125, 0.4802083, 0.3125
2245, 0.640625, 0.5083333, 0.375
2250, 0.625, 0.4864583, 0.375
2255, 0.6875, 0.4958333, 0.40625
2260, 0.6875, 0.5197917, 0.40625
2265, 0.625, 0.4895833, 0.375
2270, 0.59375, 0.496875, 0.40625
2275, 0.59375, 0.49375, 0.359375
2280, 0.59375, 0.5072917, 0.4375
2285, 0.6875, 0.471875, 0.296875
2290, 0.5625, 0.4885417, 0.34375
2295, 0.640625, 0.5083333, 0.390625
2300, 0.625, 0.4958333, 0.34375
2305, 0.59375, 0.4989583, 0.40625
2310, 0.625, 0.5166667, 0.4375
2315, 0.6875, 0.5385417, 0.46875
2320, 0.5625, 0.4833333, 0.40625
2325, 0.59375, 0.49375, 0.375
2330, 0.625, 0.5166667, 0.453125
2335, 0.625, 0.5208333, 0.421875
2340, 0.625, 0.509375, 0.375
2345, 0.703125, 0.521875, 0.375
2350, 0.6875, 0.5135416, 0.4375
2355, 0.578125, 0.503125, 0.4375
2360, 0.53125, 0.4729167, 0.34375
2365, 0.59375, 0.49375, 0.375
2370, 0.59375, 0.5052083, 0.375
2375, 0.625, 0.5020834, 0.375
2380, 0.625, 0.48125, 0.3125
2385, 0.625, 0.5020834, 0.40625
2390, 0.765625, 0.521875, 0.40625
2395, 0.5625, 0.4958333, 0.4375
2400, 0.625, 0.5177084, 0.40625
2405, 0.546875, 0.4791667, 0.3125
2410, 0.640625, 0.5291666, 0.3125
2415, 0.5625, 0.503125, 0.375
2420, 0.640625, 0.528125, 0.4375
2425, 0.59375, 0.484375, 0.375
2430, 0.6875, 0.5302083, 0.46875
2435, 0.5625, 0.4916667, 0.375
2440, 0.625, 0.50625, 0.34375
2445, 0.59375, 0.5083333, 0.40625
2450, 0.640625, 0.50625, 0.4375
2455, 0.640625, 0.521875, 0.40625
2460, 0.625, 0.5052083, 0.375
2465, 0.5, 0.490625, 0.40625
2470, 0.6875, 0.509375, 0.34375
2475, 0.65625, 0.5072917, 0.34375
2480, 0.5625, 0.4791667, 0.34375
2485, 0.625, 0.5072917, 0.421875
2490, 0.59375, 0.4916667, 0.40625
2495, 0.609375, 0.5052083, 0.421875
